name,lastEditDate
Assessed Russian-controlled Ukrainian Territory,2022-09-22 21:28:34.631
Claimed Russian Control over Ukrainian Territory,2022-09-22 21:01:31.748
DonbasBeforeFeb24_2022,2022-04-28 19:59:05.123
AssessedRussianAdvancesinUkraine,2022-09-22 21:06:54.651
Claimed Ukrainian Counteroffensives,2022-09-22 21:28:36.344
Reported Ukrainian Partisan Warfare,2022-09-22 20:19:05.312
